category,test_index,true_label,predicted_label,prob_positive,text,exp2_top_attention_tokens
confident_false_positive,29330,0,1,1.0,"Wow love the place and everything is very clean and new!  Great place to come and relax worth a try!  Cheers,  Eric Van Nguyen Visited April 2012","love(0.06), great(0.06), worth(0.06), clean(0.06), relax(0.06)"
confident_false_positive,29923,0,1,0.9999,"Pumpkin Spice. Red Velvet Cake. Friggin NUTELLA. These are the flavors I love the most...if any other froyo joint made them. I have passed by this place many times with my girlfriend, and always meant to stop in due to the sign outside advertising the red velvet cake flavor (my favorite dessert). I finally stopped in the other day to try some. I got some of the red velvet cake and nutella, and my girlfriend got the pumpkin spice. The toppings are irrelevant, because those are standard fare among froyo stores and hard to screw up.   Frozen yogurt, on the other hand, is apparently very easy to screw up. If you like their base flavor and are only adventurous enough to enjoy slight variations on it, go right ahead. But if you're expecting the flavor you get to, well, taste like the flavor you get, you're SOL. Pumpkin Spice tasted like the base flavor with a very slight hint of pumpkin. RVC tasted like the base flavor with a slight hint of cream cheese and chocolate. Nutella tasted like the base flavor with a slight hint of nutella. Due to my high hopes, their flavor could all be summed up as the flavor of sadness. I would recommend just about every other froyo joint than this one.","favorite(0.02), nutella(0.02), love(0.02), nutella(0.02), enjoy(0.02)"
confident_false_positive,5185,0,1,0.9995,"Like Clay P who posted before me, I too love pancakes. Though I love chocolate chip pancakes. But like Clay I did not love the ones that I got a the Original Pancake House. Typically, restaurants just don't do it the way I like them and I have come to expect that. Grading OPH on those terms, they did a respectable job. It is definitely a worthwhile destination for a pancake lover.","definitely(0.06), respectable(0.06), job(0.06), clay(0.06), worthwhile(0.05)"
confident_false_positive,15988,0,1,0.9993,"Local dining icons deserve their own criteria for recognition.  That said, adding sliced tomato, coleslaw and a pile of fries to a deli sandwich defines the Primanti as a Pittsburgh-area institution.  Their cheesesteaks will never threaten the best of Philly's, nor will their pastrami or corned beef be mistaken for New York deli; this only serves to make the Primanti style unique.  I find their meats to be generally good, and reasonably generous.  Tomato on a corned beef sandwich can only be regarded as an acquired taste.  Personally, I'm not a fan of loading a sandwich with fries, but again, this is a matter of preference.  The assembled work is a massive sandwich which invites a machismo-driven, face-first dive into its mismatched imperfection.  After the second or third surfacing-for-air, the conclusion I've always had was of an enjoyable adventure.  Prices are downright cheap.","enjoyable(0.05), imperfection(0.04), always(0.04), adventure(0.03), best(0.03)"
confident_false_positive,4488,0,1,0.9993,"It's good. The rolls are better than the sashimi although one time we had some really nice(and surprising) maguro. We always get the hamachi jalape\u00f1o roll and some sashimi so don't get me wrong when I say the rolls are better than the sashimi. It's still enjoyable. Good atmosphere and my girl likes the martinis. Little Tokyo in Mt. Lebanon and Kiku in Station Square are better. Nakama is good for some enjoyable sushi and, more importantly, the atmosphere.  You can go here and watch the pens game AND eat a roll.  Can't say that about a lot of sushi restaurants.  4.5 of 10 relative to sushi quality alone","enjoyable(0.04), good(0.04), importantly(0.04), good(0.04), nice(0.04)"
confident_false_negative,22807,1,0,0.0001,"EDIT: They really did change the service up since I last posted this.  Horrible service.  Used to be my favorite pizza in the city (at a reasonable price), but I'm rethinking that. We just had an altercation with a server who refused to split a check when we were paying with cash. He then proceeded to disrespect the party at the table, telling us to 'not give him attitude about it.'  Sorry Bella Notte, but we're not children. I don't care if you're working hard - it doesn't give you any excuse to disrespect your paying customers like that.","disrespect(0.02), not(0.02), favorite(0.02), horrible(0.02), party(0.02)"
confident_false_negative,11401,1,0,0.0004,"Perhaps my expectations were too high because of all the hype I'd heard, but I have to say I was a little disappointed. We did a girls' night out and were so excited about this new great wine/chocolate combo thing, but after waiting forever for a table we waited forever for a waitress, who utimately messed up our order and brought us first the wrong food and then cold food. When they finally got the food right, it was actually pretty goos, but by that time were were kind of over it. As for dessert, we ended up going with these chocolate martinis that were pretty rockin. My suggestion is head there for drinks but not for food.","hype(0.03), disappoint(0.03), expectation(0.03), high(0.03), cold(0.03)"
confident_false_negative,25329,1,0,0.0004,"Im with Kimberly B...this is a card for people rebuilding credit.  Mine got tanked due to a divorce.  I have been rebuilding, and started with a $300 limit, and it is now at $1250.  I do not carry a balance, ever.  If you need to carry a balance, then you haven't learned your lesson that got us all to this type of a card in the first place.  It you are a day late, you haven't learned your lesson either. A day late is a  day late. You can sign up to get reminders to pay a week in advance.  Also, it is NOT A HIDDEN $75 fee.  It isn't hidden!  It's clearly disclosed, along with the $8.95 monthly fee.  People who place blame where it doesn't belong aren't going to take responsibility for getting their credit back in order.  Get over it.  It's a card to rebuild credit...you are going to pay for the privlege of doing so.  I will probably keep it awhile longer, as length of time you have an account open adds to your score too.  Educate yourselves people. Stop blaming the company for being a business and take your finances into your own hands.","1250(0.02), blame(0.02), not(0.02), disclose(0.02), not(0.02)"
confident_false_negative,30793,1,0,0.0004,"This place is so much better since they changed owners.  My wife and I went when it was the old owners, it was terrible.  We waited forever and the food never came before we walked out.  People were served before us that walked in after and my wife actually got her soup before me and I sat and waited while they \""""made more\"""".  It was horrible.  Now its much better.  The staff are very friendly, they treat their customers very well and I have nothing but positive things to now say about this place.  Its much better with the new owners.","terrible(0.04), horrible(0.04), never(0.04), food(0.04), forever(0.04)"
confident_false_negative,12280,1,0,0.0007,"Came here back in June for the Britney Spears concert with my daughter. Not the best accoustics, but still a fairly nice venue. This was the most bizarre concert I've ever attended. It's not the venue's fault, but it was a weird experience. We sat in the unfixed seats in the back, just above the first level. An older couple sat next to us because the wife used a cane. First of all, I thought I would have been the oldest person there, I'm 41, but this couple was in their mid to late sixties. I heard the man tell his wife to sit the f*ck down...nice guy, right? During the opening act & the Nicki Minaj portion of the concert, he kept looking through his binoculars at them...EW. Then Britney came out. He danced as well as he could being old, white & sitting down. Again, he ogled Britney & her dancers through his binocs. Some poor girl had the misfortune of walking past then stopping in front of them on the walkway just above the top row of seats in the lower section. They yelled at her and told her to, \""""Get the f*ck out of the way!!\"""". She left, quite bewildered at being verbally assulted by a couple of old geezers at a Britney Spears concert. The part of Britney's show came in which she asks a male member of the audience to come on stage and dance with her. The fool old man was waving his hand wildly in the air, like a the kiss-ass smart kid in your elementary school class kind of hand raising! Fortunately for everyone in that arena, she picked a younger, better looking man....phew! About 10 minutes later, a group of 4 girls decided they wanted to dance where the first girl had earlier got her ass verbally handed to her by Mr. & Mrs. Hemorrhoid.  Again, they yelled obscenities at the girls, he pushed one of them and the wife was pushing them with her cane! The girls asked my daughter & I if we minded if they moved in front of us. We told them it was fine, we could still see just fine. Then one of the girls told the man that it was not OK to hit a woman. He says, \""""I didn't hit you, I pushed you!\""""...wow. Sorry girls, he's taken!","poor(0.01), bewilder(0.01), misfortune(0.01), f(0.01), verbally(0.01)"
